numeral;form;homogenious_parts;pair_numerals;definiteness;adjectives;source
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;no;yes;low;yes;ruscorpora
dva;inanim;no;no;medium;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;yes_anim;no;medium;yes;ruscorpora
dva;inanim;no;yes;low;no;ruscorpora
dva;inanim;no;yes;low;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;no;no;medium;no;ruscorpora
dva;inanim;no;no;medium;no;ruscorpora
dva;inanim;no;yes;low;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;yes_inanim;no;medium;no;ruscorpora
dva;inanim;yes_anim;no;medium;no;ruscorpora
dva;inanim;yes_anim;no;high;no;ruscorpora
dva;inanim;no;no;medium;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;yes_anim;no;medium;no;ruscorpora
dva;inanim;yes_anim;no;high;no;ruscorpora
dva;inanim;no;yes;low;no;ruscorpora
dva;inanim;yes_inanim;no;high;no;ruscorpora
dva;inanim;yes_anim;yes;low;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;yes_anim;no;high;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;no;no;medium;no;ruscorpora
dva;inanim;yes_anim;no;high;no;ruscorpora
dva;inanim;no;yes;low;yes;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;yes_inanim;no;high;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;no;yes;low;no;ruscorpora
dva;inanim;no;no;medium;yes;ruscorpora
dva;inanim;yes_anim;no;high;no;ruscorpora
dva;inanim;yes_inanim;no;medium;no;ruscorpora
dva;inanim;yes_anim;no;high;no;ruscorpora
dva;inanim;yes_inanim;no;high;yes;ruscorpora
dva;inanim;yes_inanim;no;high;yes;ruscorpora
dva;inanim;no;yes;low;no;ruscorpora
dva;inanim;no;no;medium;no;ruscorpora
dva;inanim;yes_anim;no;medium;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;no;no;high;yes;ruscorpora
dva;inanim;yes_anim;no;high;no;ruscorpora
dva;inanim;no;no;high;yes;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;no;no;medium;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;yes_anim;no;medium;no;ruscorpora
dva;inanim;yes_anim;no;high;no;ruscorpora
dva;inanim;no;no;medium;no;ruscorpora
dva;inanim;yes_anim;no;high;no;ruscorpora
dva;inanim;yes_inanim;no;medium;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;yes_anim;no;high;no;ruscorpora
dva;inanim;no;no;high;yes;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;yes_anim;no;medium;no;ruscorpora
dva;inanim;no;no;medium;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
