TRANS;DO_POS;DO_CASE;DO_DEF;DO_CONJUNCT;MA_CONJUNCT;DO_PL_REF;DO_PL_NP;MA_PL;LP;SUBJ;ANIM
TR;NP;NM;INDEF;YES;NO;PL;NA;NO;VA;NO;NO
TR;NP;NOM;DEF;YES;NO;PL;NA;PL;AV;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
TR;PRON;NOM;NA;NO;NO;SG;SG;NO;VA;DAT;NO
TR;QP;NOM;DEF;NO;NO;SG;SG;NO;VA;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;AV;NO;NO
TR;NP;NM;INDEF;NO;NO;PL;PL;NO;VA;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
TR;NP;GEN;POSS;NO;NO;SG;SG;NO;VA;DAT;NO
TR;NP;GEN;DEF;NO;NO;SG;SG;NO;VA;DAT;NO
TR;NP;NM;INDEF;NO;NO;PL;PL;NO;VA;DAT;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;DAT;NA
TR;NA;NA;NA;YES;NO;PL;NA;PL;VA;DAT;YES
TR;QP;NA;NA;NO;NO;SG;SG;NO;NA;NO;NO
TR;NP;NOM;DEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;NM;INDEF;NO;NO;PL;PL;NO;AV;NO;NO
TR;NP;NM;INDEF;NO;NO;PL;PL;PL;AV;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
TR;NP;NOM;DEF;NO;NO;SG;SG;NO;AV;NO;NO
TR_FIN_SA;FIN_SA;NA;NA;NO;NO;NA;NA;NO;VA;NO;NO
TR;QP;NOM;DEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;PRON;GEN;NA;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
TR;NP;NOM;DEF;YES;NO;PL;NA;PL;VA;DAT;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
TR_FIN_SA;FIN_SA;NA;NA;NO;NO;NA;NA;NO;VA;NO;NO
TR;PRON;NOM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;FIN_SA;NA;NA;NO;NO;NA;NA;NO;VA;NO;NO
TR;NP;NM;INDEF;NO;NO;PL;PL;NO;VA;NO;NO
TR;NP;NOM;DEF;NO;NO;SG;SG;NO;VA;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;VA;NO;NO
TR_FIN_SA;FIN_SA;NA;NA;NO;NO;NA;NA;NO;VA;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
TR;NP;NOM;DEF;NO;NO;SG;SG;NO;AV;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;DAT;NA
TR;NP;NM;INDEF;NO;NO;PL;PL;NO;VA;DAT;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;DAT;NA
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;AV;DAT;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;DAT;NA
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
REFL;REFL;NOM;POSS;NO;NO;SG;SG;NO;VA;DAT;NA
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
TR;NP;NM;INDEF;NO;NO;PL;PL;NO;VA;NO;NO
TR_NF_SA;NF_SA;NA;NA;NO;NO;NA;NA;NO;VA;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
TR;NP;NOM;DEF;NO;NO;SG;SG;NO;AV;NO;NO
REFL;REFL;NOM;DEF;NO;NO;SG;SG;NO;AV;NO;NA
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;VA;NO;NO
TR_ING;QP;NA;INDEF;NO;NO;SUBST;NA;NO;VA;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;VA;NO;NO
TR;NP;NOM;DEF;NO;YES;SG;SG;NO;VA;NO;NO
TR;NP;NOM;DEF;NO;YES;SG;SG;NO;VA;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
TR;NP;NOM;DEF;NO;NO;SG;SG;NO;VA;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;AV;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;AV;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
TR;QP;NA;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
TR_ING;NP;NM;INDEF;NO;NO;SUBST;SG;NO;VA;NO;NO
TR_ING;QP;NA;INDEF;NO;NO;SUBST;NA;NO;VA;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;AV;NO;NO
TR;NP;NOM;DEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
INTR_NF_SA;NF_SA;NA;NA;NA;NO;NA;NA;NO;VA;NO;NA
INTR_NF_SA;NA;NA;NA;NA;NO;NA;NA;NO;VA;NO;NA
TR;NP;NOM;DEF;NO;NO;SG;SG;NO;AV;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;NOM;DEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;VA;NO;NO
TR_ING;NP;ABL;INDEF;NO;NO;SUBST;SG;NO;VA;NO;NO
TR_DUR;QP;NA;INDEF;NO;NO;PL;NA;NO;VA;NO;NO
TR_ING;PRO;NA;NA;NO;NO;NA;NA;NO;NA;NO;NO
TR_ING;QP;NA;INDEF;NO;NO;PL;NA;NO;VA;NO;NO
TR_ING;NP;ABL;DEF;NO;NO;SUBST;SG;NO;VA;NO;NO
TR;NP;NOM;DEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;GEN;DEF;NO;NO;SG;SG;NO;AV;DAT;NO
TR;PRON;NOM;INDEF;NO;NO;SG;SG;NO;AV;DAT;NO
TR_ING;NP;ABL;INDEF;NO;NO;SUBST;SG;NO;VA;NO;NO
TR_ING;NP;ABL;INDEF;NO;NO;SUBST;SG;NO;VA;NO;NO
TR;NP;GEN;DEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
TR;NP;NOM;POSS;NO;NO;SG;SG;NO;VA;NO;NO
TR;QP;NA;NA;NO;NO;NA;NA;NO;VA;DAT;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;PRON;NM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;DAT;NA
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;VA;DAT;NO
TR;NP;NOM;POSS;NO;NO;SG;SG;NO;AV;NO;NO
TR;NA;NA;NA;YES;NO;PL;NA;NO;VA;NO;YES
TR;NP;NOM;DEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;AV;NO;YES
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
TR;QP;GEN;DEF;NO;NO;SG;SG;NO;AV;DAT;NO
TR_FIN_SA;FIN_SA;NA;NA;NO;NO;NA;NA;NO;VA;NO;NO
INTR;NA;NA;NA;NA;NO;NA;NA;NO;NA;NO;NA
TR;NP;GEN;DEF;NO;NO;PL;PL;NO;VA;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;VA;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
TR;NP;GEN;DEF;NO;NO;PL;PL;PL;VA;NO;NO
TR;PRON;NA;NA;NO;NO;PL;PL;PL;VA;NO;NO
TR;NP;NOM;DEF;NO;NO;SUBST;SG;NO;AV;NO;NO
TR;NP;GEN;DEF;YES;NO;PL;PL;PL;AV;NO;YES
TR;NP;NOM;DEF;NO;YES;PL;PL;PL;AV;NO;NO
TR;NP;NOM;DEF;NO;YES;PL;PL;PL;AV;NO;NO
TR;PRON;NOM;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;NM;INDEF;NO;NO;PL;PL;NO;VA;NO;NO
TR;PRO;NA;NA;NO;NO;PL;PL;PL;NA;NO;NO
TR;NP;NM;INDEF;NO;NO;PL;PL;NO;AV;NO;NO
TR_FIN_SA;FIN_SA;NA;NA;NO;NO;NA;NA;NO;VA;NO;NO
TR;NP;NM;INDEF;YES;NO;PL;PL;NO;VA;NO;NO
TR;NP;NOM;DEF;NO;YES;PL;PL;PL;AV;NO;NO
TR;NP;NOM;DEF;NO;YES;PL;PL;PL;AV;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;NM;INDEF;NO;NO;PL;PL;NO;VA;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;VA;NO;NO
TR;NP;NOM;DEF;NO;NO;SG;SG;NO;VA;NO;NO
TR_ING;NP;ABL;INDEF;NO;NO;SUBST;SG;NO;AV;NO;NO
TR;PRON;NOM;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
TR;PRON;NOM;INDEF;NO;NO;PL;PL;PL;AV;NO;NO
TR_FIN_SA;FIN_SA;NA;NA;NO;NO;NA;NA;NO;VA;NO;NO
TR;NP;NOM;POSS;NO;NO;PL;PL;PL;AV;NO;YES
TR;NP;NM;INDEF;YES;NO;PL;NA;NO;VA;NO;NO
TR;NP;NOM;POSS;NO;NO;PL;PL;PL;AV;NO;NO
TR;NP;GEN;DEF;NO;NO;SG;SG;NO;AV;NO;YES
TR;NP;GEN;DEF;NO;NO;PL;PL;NO;VA;NO;NO
TR;NP;GEN;DEF;NO;NO;PL;PL;PL;VA;NO;NO
TR;NP;GEN;POSS;NO;NO;PL;PL;PL;VA;NO;NO
TR;NP;NM;INDEF;NO;NO;SG;SG;NO;VA;NO;NO
TR;NP;GEN;DEF;NO;NO;PL;PL;PL;VA;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;AV;NO;NO
TR;NP;NA;POSS;YES;NO;PL;NA;NO;VA;NO;NO
TR;NP;GEN;POSS;NO;NO;PL;PL;PL;VA;NO;NO
TR;PRO;NA;NA;NO;NO;PL;PL;PL;NA;NO;NO
TR;NP;GEN;DEF;NO;NO;PL;PL;PL;AV;NO;NO
TR;NP;GEN;DEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;PRO;NA;NA;NO;NO;SUBST;SG;NO;NA;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;VA;NO;NO
TR;PRO;NA;NA;NO;NO;PL;PL;PL;NA;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;AV;NO;NO
TR;PRO;NA;NA;NO;NO;SUBST;SG;NO;NA;NO;NO
TR;NP;NOM;DEF;NO;NO;SG;SG;NO;AV;NO;NO
TR;NP;GEN;DEF;NO;NO;PL;PL;PL;AV;NO;NO
TR;NP;GEN;DEF;NO;NO;PL;PL;PL;VA;NO;NO
TR;PRO;NA;NA;NO;NO;PL;PL;PL;NA;NO;NO
TR;NP;GEN;POSS;NO;NO;SG;SG;NO;AV;NO;NO
TR;PRO;NA;NA;NO;NO;PL;PL;PL;NA;NO;NO
TR;NP;NOM;DEF;NO;NO;PL;PL;PL;AV;NO;NO
